Strikes,Maturities,Prices
70,0.083333333,30.29116906
71.01694915,0.083333333,29.27853735
72.03389831,0.083333333,28.26598286
73.05084746,0.083333333,27.25352211
74.06779661,0.083333333,26.2412387
75.08474576,0.083333333,25.22884433
76.10169492,0.083333333,24.2174108
77.11864407,0.083333333,23.20584965
78.13559322,0.083333333,22.19630279
79.15254237,0.083333333,21.18616422
80.16949153,0.083333333,20.17925454
81.18644068,0.083333333,19.17471337
82.20338983,0.083333333,18.17129793
83.22033898,0.083333333,17.17377057
84.23728814,0.083333333,16.18410182
85.25423729,0.083333333,15.1946713
86.27118644,0.083333333,14.22421527
87.28813559,0.083333333,13.25437611
88.30508475,0.083333333,12.30425603
89.3220339,0.083333333,11.38667298
90.33898305,0.083333333,10.46030174
91.3559322,0.083333333,9.571662875
92.37288136,0.083333333,8.705249698
93.38983051,0.083333333,7.869510658
94.40677966,0.083333333,7.115601529
95.42372881,0.083333333,6.352183388
96.44067797,0.083333333,5.649711552
97.45762712,0.083333333,4.98362801
98.47457627,0.083333333,4.333223485
99.49152542,0.083333333,3.79352944
100.5084746,0.083333333,3.264715268
101.5254237,0.083333333,2.788271186
102.5423729,0.083333333,2.371504901
103.559322,0.083333333,1.982621198
104.5762712,0.083333333,1.681348376
105.5932203,0.083333333,1.384551392
106.6101695,0.083333333,1.124839775
107.6271186,0.083333333,0.932038297
108.6440678,0.083333333,0.757906801
109.6610169,0.083333333,0.593362299
110.6779661,0.083333333,0.456705147
111.6949153,0.083333333,0.373270263
112.7118644,0.083333333,0.284951771
113.7288136,0.083333333,0.217007142
114.7457627,0.083333333,0.165082336
115.7627119,0.083333333,0.12268906
116.779661,0.083333333,0.097654829
117.7966102,0.083333333,0.073039192
118.8135593,0.083333333,0.052164386
119.8305085,0.083333333,0.037354402
120.8474576,0.083333333,0.027193163
121.8644068,0.083333333,0.01971429
122.8813559,0.083333333,0.015026591
123.8983051,0.083333333,0.010450619
124.9152542,0.083333333,0.007888598
125.9322034,0.083333333,0.005416104
126.9491525,0.083333333,0.003940399
127.9661017,0.083333333,0.002541533
128.9830508,0.083333333,0.001950088
130,0.083333333,0.001028037
70,0.166666667,30.59014626
71.01694915,0.166666667,29.58484684
72.03389831,0.166666667,28.58190232
73.05084746,0.166666667,27.57934011
74.06779661,0.166666667,26.57802428
75.08474576,0.166666667,25.57998291
76.10169492,0.166666667,24.58417725
77.11864407,0.166666667,23.59039211
78.13559322,0.166666667,22.60148955
79.15254237,0.166666667,21.62378098
80.16949153,0.166666667,20.64069278
81.18644068,0.166666667,19.68733198
82.20338983,0.166666667,18.7196796
83.22033898,0.166666667,17.77014261
84.23728814,0.166666667,16.83523069
85.25423729,0.166666667,15.9074733
86.27118644,0.166666667,14.99059702
87.28813559,0.166666667,14.09368393
88.30508475,0.166666667,13.19014637
89.3220339,0.166666667,12.34129093
90.33898305,0.166666667,11.56280909
91.3559322,0.166666667,10.70332225
92.37288136,0.166666667,9.929480663
93.38983051,0.166666667,9.150010688
94.40677966,0.166666667,8.46942732
95.42372881,0.166666667,7.78249528
96.44067797,0.166666667,7.097681764
97.45762712,0.166666667,6.470417811
98.47457627,0.166666667,5.858826391
99.49152542,0.166666667,5.293255825
100.5084746,0.166666667,4.757130331
101.5254237,0.166666667,4.287228929
102.5423729,0.166666667,3.865851712
103.559322,0.166666667,3.415157391
104.5762712,0.166666667,3.075252117
105.5932203,0.166666667,2.67414841
106.6101695,0.166666667,2.322971702
107.6271186,0.166666667,2.043050185
108.6440678,0.166666667,1.8171628
109.6610169,0.166666667,1.56878667
110.6779661,0.166666667,1.342504171
111.6949153,0.166666667,1.185948911
112.7118644,0.166666667,1.01518033
113.7288136,0.166666667,0.877603012
114.7457627,0.166666667,0.733895629
115.7627119,0.166666667,0.619988028
116.779661,0.166666667,0.512322851
117.7966102,0.166666667,0.449257086
118.8135593,0.166666667,0.367217809
119.8305085,0.166666667,0.306740289
120.8474576,0.166666667,0.25371268
121.8644068,0.166666667,0.213435882
122.8813559,0.166666667,0.180481766
123.8983051,0.166666667,0.148395453
124.9152542,0.166666667,0.126201932
125.9322034,0.166666667,0.100337007
126.9491525,0.166666667,0.077582416
127.9661017,0.166666667,0.066728923
128.9830508,0.166666667,0.052383128
130,0.166666667,0.045627683
70,0.25,30.91545773
71.01694915,0.25,29.9236747
72.03389831,0.25,28.93713113
73.05084746,0.25,27.95423546
74.06779661,0.25,26.97556893
75.08474576,0.25,25.9891358
76.10169492,0.25,25.01732483
77.11864407,0.25,24.0566619
78.13559322,0.25,23.08320289
79.15254237,0.25,22.13642437
80.16949153,0.25,21.18065085
81.18644068,0.25,20.25075052
82.20338983,0.25,19.32391048
83.22033898,0.25,18.42659221
84.23728814,0.25,17.53206999
85.25423729,0.25,16.64730179
86.27118644,0.25,15.78269768
87.28813559,0.25,14.91325585
88.30508475,0.25,14.09051652
89.3220339,0.25,13.31656539
90.33898305,0.25,12.5098245
91.3559322,0.25,11.76318172
92.37288136,0.25,10.95967511
93.38983051,0.25,10.29907881
94.40677966,0.25,9.568112277
95.42372881,0.25,8.890983551
96.44067797,0.25,8.240618189
97.45762712,0.25,7.664630618
98.47457627,0.25,7.071492423
99.49152542,0.25,6.529261967
100.5084746,0.25,5.982881618
101.5254237,0.25,5.483563426
102.5423729,0.25,4.965620236
103.559322,0.25,4.574757217
104.5762712,0.25,4.209071378
105.5932203,0.25,3.809777279
106.6101695,0.25,3.44358843
107.6271186,0.25,3.066536105
108.6440678,0.25,2.803936577
109.6610169,0.25,2.498360176
110.6779661,0.25,2.198708213
111.6949153,0.25,1.995101249
112.7118644,0.25,1.782469699
113.7288136,0.25,1.598964404
114.7457627,0.25,1.358956553
115.7627119,0.25,1.238221913
116.779661,0.25,1.08798913
117.7966102,0.25,0.944538285
118.8135593,0.25,0.8618468
119.8305085,0.25,0.736660688
120.8474576,0.25,0.638822545
121.8644068,0.25,0.54554024
122.8813559,0.25,0.481115505
123.8983051,0.25,0.437945765
124.9152542,0.25,0.378397688
125.9322034,0.25,0.324465488
126.9491525,0.25,0.293658352
127.9661017,0.25,0.244452193
128.9830508,0.25,0.199979406
130,0.25,0.174786193
70,0.333333333,31.27270078
71.01694915,0.333333333,30.29383072
72.03389831,0.333333333,29.32536232
73.05084746,0.333333333,28.36203091
74.06779661,0.333333333,27.39376118
75.08474576,0.333333333,26.4196034
76.10169492,0.333333333,25.48031352
77.11864407,0.333333333,24.54036144
78.13559322,0.333333333,23.61886457
79.15254237,0.333333333,22.68871563
80.16949153,0.333333333,21.77802767
81.18644068,0.333333333,20.85516829
82.20338983,0.333333333,19.99267138
83.22033898,0.333333333,19.07279651
84.23728814,0.333333333,18.2151846
85.25423729,0.333333333,17.37168788
86.27118644,0.333333333,16.54978496
87.28813559,0.333333333,15.74291066
88.30508475,0.333333333,14.93931515
89.3220339,0.333333333,14.1694381
90.33898305,0.333333333,13.4062387
91.3559322,0.333333333,12.64092342
92.37288136,0.333333333,11.93614661
93.38983051,0.333333333,11.19301568
94.40677966,0.333333333,10.55910409
95.42372881,0.333333333,9.957558178
96.44067797,0.333333333,9.208360614
97.45762712,0.333333333,8.662983359
98.47457627,0.333333333,8.083939761
99.49152542,0.333333333,7.515601913
100.5084746,0.333333333,6.991644629
101.5254237,0.333333333,6.590190189
102.5423729,0.333333333,6.014255737
103.559322,0.333333333,5.606055602
104.5762712,0.333333333,5.189007066
105.5932203,0.333333333,4.744591986
106.6101695,0.333333333,4.32527758
107.6271186,0.333333333,3.991512473
108.6440678,0.333333333,3.686567311
109.6610169,0.333333333,3.29829759
110.6779661,0.333333333,3.034591494
111.6949153,0.333333333,2.796646969
112.7118644,0.333333333,2.504594061
113.7288136,0.333333333,2.330674518
114.7457627,0.333333333,2.050906451
115.7627119,0.333333333,1.880709291
116.779661,0.333333333,1.686718531
117.7966102,0.333333333,1.537847779
118.8135593,0.333333333,1.354815577
119.8305085,0.333333333,1.200437674
120.8474576,0.333333333,1.11960525
121.8644068,0.333333333,0.983668041
122.8813559,0.333333333,0.910316557
123.8983051,0.333333333,0.787806323
124.9152542,0.333333333,0.696384287
125.9322034,0.333333333,0.633236641
126.9491525,0.333333333,0.557960225
127.9661017,0.333333333,0.498490166
128.9830508,0.333333333,0.44195479
130,0.333333333,0.39538452
70,0.416666667,31.63821943
71.01694915,0.416666667,30.69585967
72.03389831,0.416666667,29.73348692
73.05084746,0.416666667,28.77765384
74.06779661,0.416666667,27.84468463
75.08474576,0.416666667,26.91237605
76.10169492,0.416666667,25.96636344
77.11864407,0.416666667,25.05785385
78.13559322,0.416666667,24.17492817
79.15254237,0.416666667,23.23958772
80.16949153,0.416666667,22.33423602
81.18644068,0.416666667,21.43508504
82.20338983,0.416666667,20.60797175
83.22033898,0.416666667,19.76737505
84.23728814,0.416666667,18.91871745
85.25423729,0.416666667,18.0630011
86.27118644,0.416666667,17.30391635
87.28813559,0.416666667,16.51685586
88.30508475,0.416666667,15.6909722
89.3220339,0.416666667,14.96021506
90.33898305,0.416666667,14.26038547
91.3559322,0.416666667,13.45072111
92.37288136,0.416666667,12.78091502
93.38983051,0.416666667,12.09967263
94.40677966,0.416666667,11.40786819
95.42372881,0.416666667,10.72832271
96.44067797,0.416666667,10.14987665
97.45762712,0.416666667,9.630857929
98.47457627,0.416666667,9.003210143
99.49152542,0.416666667,8.443777074
100.5084746,0.416666667,7.946131443
101.5254237,0.416666667,7.400254317
102.5423729,0.416666667,6.945071737
103.559322,0.416666667,6.396988557
104.5762712,0.416666667,6.041352569
105.5932203,0.416666667,5.519212533
106.6101695,0.416666667,5.205525496
107.6271186,0.416666667,4.805300195
108.6440678,0.416666667,4.487699012
109.6610169,0.416666667,4.148539597
110.6779661,0.416666667,3.850841447
111.6949153,0.416666667,3.464571854
112.7118644,0.416666667,3.202555657
113.7288136,0.416666667,2.968383471
114.7457627,0.416666667,2.71880581
115.7627119,0.416666667,2.472367412
116.779661,0.416666667,2.32604637
117.7966102,0.416666667,2.098081754
